,reward
0,-0.0008402417576824917
1,-0.0031178135925991057
2,-0.002691739105848967
3,-0.0032927716038599897
4,-0.006545616175905877
5,-0.011479338538524786
6,-0.01509429234539894
7,-0.015318248146058977
8,-0.020325952805269054
9,-0.023307238556569132
10,-0.022259553358754403
11,-0.020546935767224994
12,-0.027122530410963464
13,-0.02739806284427715
14,-0.02279205906416948
15,-0.0199553545495057
16,-0.014530044010214738
17,-0.017024753182539598
18,-0.02248291035611416
19,-0.0177223217671596
20,-0.015944173618258617
21,-0.015220099845247859
22,-0.013496946119975206
23,-0.015509827002109233
24,-0.016362203179181023
25,-0.0074323504683526664
26,-0.00395016920757385
27,-0.0013808616926169748
28,-0.007856751000048234
29,-0.0018864167159904355
30,0.011454313158587581
31,0.012386975928730948
32,-0.00697938240142193
33,0.00911860371347828
34,-1.948184751299209e-05
35,-0.006750117031000258
36,0.0011254354310530346
37,-0.01298910436378975
38,-0.008655123686303057
39,-0.002026584396723763
40,-0.0012458227640621544
41,0.006098949521557984
42,-0.00149490351800452
43,-0.005008927745571157
44,0.00015665466909453585
45,0.0040363808053101025
46,0.022886655666916056
47,0.02884708133699121
48,0.009496352793600948
49,-0.0027141125265117694
50,-0.007278230296172694
51,-0.0006409269866658462
52,-0.0017568150669333704
53,-0.0028987294835935984
54,0.004640162690510152
55,0.017794503184429544
56,0.02586048816860753
57,0.004606403252829239
58,0.00442866613207471
59,-0.00025984127216105435
60,0.003342748429471243
61,0.011861098863654718
62,0.012597295654313001
63,0.024917027779771672
64,0.010767255205887949
65,0.01222210904550991
66,0.005867272321378181
67,0.021038632337528895
68,-0.0007551765083846362
69,-0.0003871787219189571
70,0.0013068887472655888
71,0.0010522739466090059
72,-0.0006164481801462784
73,0.015616191170781946
74,0.03041200190672555
75,0.03047393280301236
76,0.023420490417258577
77,0.009345612914639645
78,0.02522099788336618
79,-0.0010402618493188243
80,-0.004686092286050325
81,-0.006054145021536783
82,0.015384313273258954
83,0.013782731186982033
84,-0.0022633086758538923
85,0.020449099984460872
86,-0.0023119023162720964
87,-0.013342334927415322
88,-0.006193273887813433
89,-0.008103294990142729
90,-0.00012032546397477972
91,-0.007383567030192495
92,-0.007056862916297035
93,0.016722549083443283
94,0.010548941370291942
95,0.009676559273774643
96,0.022068556600451927
97,0.029479819258764195
98,0.02614576143301406
99,0.016535160087087775
100,0.002713100584301742
101,0.001268158680645115
102,-0.004522392097889849
103,-0.022954139264648177
104,-0.02847339688853978
105,-0.02800011801404878
106,-0.03389781969277195
107,-0.010633456605724234
108,-0.006293636440126704
109,-0.022520858633594543
110,-0.024207859249258945
111,-0.019863001867026497
112,0.0009544055434318466
113,0.02229467068664448
114,0.003896281531758916
115,0.015221964332745586
116,0.02656644170508926
117,0.022319920094897583
118,0.0190192584540938
119,0.011589990874991685
120,0.013422558145812502
121,-0.00025457442408338693
122,0.004426688776977272
123,-0.006664502482127688
124,0.006852815162954329
125,0.001188846249871034
126,-0.024521150371636935
127,-0.028427114758837746
128,-0.0001682044537965055
129,0.0010351484027992797
130,-0.002010235193594667
131,-0.014466060149764814
132,-0.029167944597059403
133,-0.033008028572840686
134,-0.001631078769346317
135,-0.007599940616884737
136,-0.024317497136614463
137,0.0011317906887420293
138,-0.02124860188990496
139,-0.0260520070739112
140,-0.026696139296831234
141,0.0043532781327293435
142,0.00923201948296537
143,0.0008863806990788703
144,0.009314073479789187
145,-0.0072752036819956345
146,-0.003309338306731746
147,0.0067360072962685535
148,-0.008384175074684919
149,-0.02946170116160829
150,-0.028485431458218358
151,-0.0166380966779478
152,-0.02132001911897774
153,-0.017754286894593463
154,-0.001285253666534203
155,-0.007222092110978906
156,0.012169764129890126
157,0.020285638958021934
158,0.01741284064006976
159,-0.009882381099863835
160,-0.016202584991518165
161,0.0011142525732843467
162,-0.008735489607225588
163,-0.0049693458297461746
164,-0.015187767410580477
165,0.0015810738435462213
166,0.010933392185350499
167,0.016234774155776677
168,0.014672019087349497
169,0.013553750987647106
170,-0.005759396821130025
171,0.005694334383363753
172,-0.002480684875632022
173,-0.009247195556376653
174,-0.023912043227003466
175,-0.029708025887345002
176,-0.01467313989021335
177,-0.02267849456259796
178,-0.020629133279346235
179,-0.019458058200729766
180,-0.015702906206431777
181,-0.009530417224432597
182,-0.00512493001574299
183,-0.002866118646807081
184,0.008886155739951107
185,0.02199711695846318
186,0.005907135383580453
187,-0.002134593321354572
188,-0.006584624430914232
189,-0.0018822924719508194
190,-0.0021893307223130876
191,0.02389467931546818
192,0.028586164182673457
193,0.0287259130908879
194,0.02773751061443619
195,0.005906973492546541
196,0.021001448729300876
197,0.027076629814999364
198,0.040007502113521554
199,0.03642155181275086
200,0.030946988657447605
201,0.010453667031100622
202,-0.0019661928329206546
203,-0.009777779519470897
204,-0.011857625117581705
205,-0.006606386384451213
206,0.012945515895825821
207,0.012989455842618014
208,-0.003554357483981363
209,0.021423555224409085
210,-0.009997121475819881
211,-0.009815663431336219
212,-0.013498135984111315
213,0.01806712631724494
214,0.01837084282128032
215,0.008326928296717995
216,-0.005457047704400253
217,-0.017299098480823005
218,-0.010031428642633955
219,-0.0073185616252047225
