,reward
0,0.0008309429636454979
1,0.005015000718184837
2,0.0004495454905217855
3,0.08603370110566999
4,0.203106524153025
5,0.33491073273804517
6,0.4804863764980283
7,0.6362113583345597
8,0.7862403463246181
9,0.8826038559516114
10,0.9406853966411788
11,1.017234011781607
12,1.0782435314080097
13,1.1644376104452725
14,1.2029818971326023
15,1.2633452414923418
16,1.2888174810400699
17,1.3420033265108522
18,1.4242632177607462
19,1.4762501302561937
20,1.511402051286197
21,1.5574978821786623
22,1.575984406178641
23,1.5985966034524424
24,1.6155294073664628
25,1.6506875343871563
26,1.69863399110195
27,1.6735673858651268
28,1.7081177318459773
29,1.687621049526875
30,1.7095997872923263
31,1.671287647424382
32,1.6617026204814245
33,1.6729138008125766
34,1.69070738461091
35,1.6996933301653172
36,1.7103545768485517
37,1.7067982822011807
38,1.7273525102254617
39,1.7691395218563066
40,1.798368776980226
41,1.7978374717096024
42,1.8200283325717947
43,1.8056632957455854
44,1.7427960260983255
45,1.7119259739220283
46,1.6584987621897973
47,1.6213625389539388
48,1.524606515143816
49,1.4686009496744745
50,1.3723553083265116
51,1.3094883592291495
52,1.2991837050217114
53,1.309741650302776
54,1.3184466827001273
55,1.269601501991886
56,1.2533133576826216
57,1.2751116568812293
58,1.302641084437468
59,1.337061724358115
60,1.3893310400876402
61,1.3790964776499948
62,1.3897935381577753
63,1.4260761750575668
64,1.4847507672689275
65,1.5094959469270108
66,1.5400624352317749
67,1.604825156113101
68,1.6320786998128156
69,1.6695342397776614
70,1.7163256084543832
71,1.7104812380328127
72,1.6742208024687244
73,1.601887321621085
74,1.5073749576193052
75,1.423731495912861
76,1.327884766704166
77,1.2604056309744394
78,1.2006639387981721
79,1.1026056067564483
80,0.9698763457879167
81,0.8992473463921868
82,0.8026229380689998
83,0.7185913601999872
84,0.5889873943386803
85,0.47248620671052066
86,0.43276164442733744
87,0.39436147586972226
88,0.302539321651345
89,0.22433316163432693
90,0.1953324883751506
91,0.145496008612227
92,0.07819128600289105
93,-0.0058646968716402625
94,-0.08319702731348855
95,-0.14683852323749136
96,-0.2595255627599258
97,-0.3335851680139612
98,-0.3428222148719229
